What is north of the bathroom?,garden,The bathroom is north of the garden.
Is Sandra in the kitchen?,no,Sandra is not in the kitchen.
Where is Daniel?,garden,John and Daniel moved to the garden.
Where is John?,bedroom,Mary and John journeyed to the bedroom.
Where is Sandra?,hallway,John and Sandra journeyed to the hallway.
Where is Sandra?,bedroom,Sandra and Daniel travelled to the bedroom.
Where is Sandra?,hallway,Sandra and Mary travelled to the hallway.
Is Daniel in the bedroom?,yes,Daniel travelled to the bedroom.
Is Daniel in the kitchen?,no,Daniel moved to the office.
Where is Daniel?,office,Daniel moved to the office.
Where is Mary?,kitchen,Mary and John travelled to the kitchen.
Is Mary in the bathroom?,no,Mary is in the bedroom.
What is north of the bedroom?,office,The bedroom is north of the office.
Is Mary in the bathroom?,yes,Mary moved to the bathroom.
Where is Mary?,garden,John and Mary moved to the garden.
What is east of the hallway?,bedroom,The hallway is east of the bedroom.
Where is John?,office,John and Daniel moved to the office.
Who did Sandra give the football to?,John,Sandra gave John the football.
 Who did John give the apple to?,Mary, John gave Mary the apple.
 Who did John give the apple to?,Mary,John gave Mary the apple.
Is John in the kitchen?,no,John journeyed to the hallway.
Where is Daniel?,kitchen,Daniel and Sandra travelled to the kitchen.
Where is John?,garden,John and Sandra travelled to the garden.
Where is Sandra?,kitchen,Sandra and Daniel moved to the kitchen.
What did John give to Mary?,milk,John gave Mary the milk.
Where is Sandra?,garden,Daniel and Sandra journeyed to the garden.
What is the hallway west of?,bathroom,The hallway is west of the bathroom.
Where is Mary?,hallway,Mary and Daniel journeyed to the hallway.
Is John in the bedroom?,yes,John moved to the bedroom.
Where is Daniel?,kitchen,Daniel and John travelled to the kitchen.
Where is Daniel?,garden,Mary and Daniel journeyed to the garden.
What is south of the hallway?,bathroom,The hallway is south of the bathroom.
Where is Daniel?,hallway,Daniel and Sandra moved to the hallway.
Where is John?,bedroom,John and Sandra moved to the bedroom.
Where is John?,hallway,John and Sandra moved to the hallway.
Where is Sandra?,kitchen,Sandra and John journeyed to the kitchen.
Where is Mary?,hallway,Mary and Sandra journeyed to the hallway.
Where is John?,office,John and Sandra journeyed to the office.
Is Sandra in the hallway?,no,Sandra went to the kitchen.
Where is Mary?,hallway,Sandra and Mary travelled to the hallway.
What is the bathroom west of?,bedroom,The bedroom is east of the bathroom.
Where is John?,bathroom,John travelled to the bathroom.
Is John in the bathroom?,yes,John went to the bathroom.
What is the office west of?,bathroom,The office is west of the bathroom.
Where is John?,office,Sandra and John moved to the office.
Where is Sandra?,kitchen,Mary and Sandra moved to the kitchen.
What is north of the hallway?,bathroom,The bathroom is south of the hallway.
Where is Daniel?,kitchen,Daniel and Mary moved to the kitchen.
What is west of the garden?,bedroom,The garden is west of the bedroom.
Is Daniel in the garden?,no,Daniel is no longer in the garden.
Where is Sandra?,hallway,Daniel and Sandra moved to the hallway.
Where is John?,bathroom,Mary and John moved to the bathroom.
Where is John?,hallway,John journeyed to the hallway.
Is Sandra in the bathroom?,no,Sandra journeyed to the kitchen.
Is Daniel in the garden?,no,Daniel went to the bathroom.
Where is Sandra?,garden,Daniel and Sandra moved to the garden.
Where is Daniel?,garden,Daniel went to the garden.
Where is Sandra?,hallway,Sandra and John moved to the hallway.
Is Daniel in the office?,no,Daniel is not in the office.
Where is John?,hallway,John moved to the hallway.
Where is Mary?,garden,Mary travelled to the garden.
Is Mary in the bedroom?,no,Mary went to the garden.
Where is John?,bathroom,John and Sandra journeyed to the bathroom.
Where is John?,office,John and Mary moved to the office.
Is Sandra in the bathroom?,yes,Sandra journeyed to the bathroom.
 What did John give to Sandra?,milk,John gave Sandra the milk.
Where is Sandra?,hallway,Sandra and Daniel went to the hallway.
Is John in the hallway?,yes,John moved to the hallway.
Where is John?,bathroom,John journeyed to the bathroom.
Is Daniel in the kitchen?,no,Daniel journeyed to the bathroom.
 Who did John give the football to?,Mary,John gave Mary the football.
Where is John?,bathroom,Sandra and John travelled to the bathroom.
What is east of the hallway?,garden,The hallway is east of the garden.
Where is Sandra?,hallway,Sandra went to the hallway.
Where is Daniel?,bathroom,Mary and Daniel travelled to the bathroom.
Where is Sandra?,office,Sandra and Daniel went to the office.
Is Daniel in the garden?,yes,Daniel travelled to the garden.
Where is Mary?,bedroom,Mary and Daniel travelled to the bedroom.
What is north of the office?,bedroom,The bedroom is south of the office.
Where is Daniel?,hallway,Daniel and Mary moved to the hallway.
Where is Sandra?,office,Sandra went to the office.
Where is John?,office,Mary and John went to the office.
Where is Sandra?,garden,John and Sandra went to the garden.
Where is John?,bathroom,John and Daniel moved to the bathroom.
Where is Sandra?,kitchen,Daniel and Sandra journeyed to the kitchen.
Is Mary in the bathroom?,yes,Mary is in the bathroom.
Where is Mary?,bedroom,Mary and John moved to the bedroom.
Where is John?,bedroom,John and Mary moved to the bedroom.
Is Daniel in the garden?,yes,Daniel is in the garden.
Is Mary in the hallway?,yes,Mary moved to the hallway.
Where is Mary?,office,Mary and Daniel went to the office.
Is Sandra in the bathroom?,yes,Sandra went to the bathroom.
Where is Sandra?,kitchen,Sandra moved to the kitchen.
 Who did John give the apple to?,Sandra,John gave Sandra the apple.
Where is Daniel?,bedroom,Daniel and Mary journeyed to the bedroom.
Is Sandra in the hallway?,yes,Sandra moved to the hallway.
Where is Mary?,garden,Mary and Sandra journeyed to the garden.
Where is Sandra?,hallway,Sandra and John journeyed to the hallway.
Where is John?,hallway,John and Sandra journeyed to the hallway.
Where is John?,kitchen,Mary and John went to the kitchen.
What is north of the hallway?,bathroom,The hallway is north of the bathroom.
Is Sandra in the office?,yes,Sandra travelled to the office.
Where is Sandra?,bedroom,Sandra and Mary journeyed to the bedroom.
Is Mary in the office?,yes,Mary moved to the office.
Where is Daniel?,garden,Mary and Daniel went to the garden.
Where is Mary?,office,Mary and John journeyed to the office.
Where is Daniel?,garden,Daniel moved to the garden.
What is east of the garden?,hallway,The garden is east of the hallway.
Is Daniel in the bedroom?,no,Daniel went to the garden.
Who did Mary give the milk to?,John,Mary gave John the milk.
Is Sandra in the office?,no,Sandra moved to the hallway.
What is the garden west of?,hallway,The hallway is east of the garden.
Where is Mary?,bedroom,Daniel and Mary went to the bedroom.
Where is Sandra?,garden,Daniel and Sandra travelled to the garden.
Is Sandra in the office?,yes,Sandra moved to the office.
Where is Sandra?,bathroom,John and Sandra went to the bathroom.
Is Daniel in the bedroom?,no,Daniel moved to the kitchen.
Where is Sandra?,bathroom,Mary and Sandra moved to the bathroom.
Where is Daniel?,kitchen,Daniel moved to the kitchen.
Is Daniel in the kitchen?,yes,Daniel journeyed to the kitchen.
Is Sandra in the office?,no,Sandra is no longer in the office.
Is John in the office?,no,John moved to the garden.
Where is Sandra?,kitchen,John and Sandra went to the kitchen.
Where is Daniel?,kitchen,Daniel went to the kitchen.
Where is Mary?,kitchen,Mary and Sandra journeyed to the kitchen.
Is Mary in the hallway?,no,Mary journeyed to the bathroom.
 Who did Sandra give the apple to?,Mary,Sandra gave Mary the apple.
What is the bathroom south of?,kitchen,The kitchen is north of the bathroom.
Where is Sandra?,office,Sandra and John moved to the office.
Is John in the office?,yes,John went to the office.
Where is Mary?,kitchen,Mary and John moved to the kitchen.
Is John in the bathroom?,no,John travelled to the office.
Where is Daniel?,office,Daniel and John moved to the office.
Where is Sandra?,garden,Sandra and Mary moved to the garden.
Where is Daniel?,kitchen,Daniel and John went to the kitchen.
Where is Sandra?,kitchen,Sandra and Mary went to the kitchen.
What is the bathroom west of?,office,The bathroom is west of the office.
Where is Daniel?,office,John and Daniel went to the office.
Is John in the hallway?,no,John journeyed to the office.
Is John in the hallway?,no,John is no longer in the hallway.
Who received the apple?,Sandra,Mary gave Sandra the apple.
Where is Daniel?,office,Daniel and Mary moved to the office.
Where is Mary?,bedroom,Mary and Sandra moved to the bedroom.
Where is Daniel?,bathroom,Daniel travelled to the bathroom.
Where is Mary?,bathroom,Daniel and Mary moved to the bathroom.
What is the bathroom west of?,kitchen,The bathroom is west of the kitchen.
Where is Sandra?,office,Sandra and John journeyed to the office.
 Who did John give the milk to?,Mary, John gave Mary the milk.
What is the kitchen south of?,bedroom,The bedroom is north of the kitchen.
Is John in the hallway?,no,John moved to the bathroom.
Where is Sandra?,bathroom,John and Sandra travelled to the bathroom.
Where is Mary?,garden,Sandra and Mary went to the garden.
Where is Mary?,garden,Daniel and Mary went to the garden.
Where is Daniel?,garden,Daniel and Mary travelled to the garden.
What is west of the office?,garden,The garden is east of the office.
Who did John give the apple to?,Daniel,John gave Daniel the apple.
 Who did Mary give the apple to?,Daniel,Mary gave Daniel the apple.
Is John in the bedroom?,no,John journeyed to the office.
What is the garden west of?,bathroom,The garden is west of the bathroom.
Is Sandra in the kitchen?,yes,Sandra went to the kitchen.
Where is John?,bedroom,John and Sandra journeyed to the bedroom.
Is Sandra in the bedroom?,no,Sandra travelled to the bathroom.
Where is Mary?,bedroom,John and Mary moved to the bedroom.
Where is Mary?,hallway,John and Mary moved to the hallway.
Where is Daniel?,office,Mary and Daniel moved to the office.
Is Daniel in the bedroom?,no,Daniel went to the bathroom.
Is Mary in the garden?,yes,Mary went to the garden.
Where is Mary?,bedroom,Mary and Sandra travelled to the bedroom.
Where is John?,bedroom,John and Mary travelled to the bedroom.
Is Mary in the hallway?,no,Mary moved to the bathroom.
Is Mary in the bathroom?,no,Mary journeyed to the hallway.
Where is John?,hallway,John and Sandra travelled to the hallway.
Is John in the hallway?,no,John journeyed to the garden.
Is John in the hallway?,yes,John journeyed to the hallway.
Where is Sandra?,bedroom,Sandra journeyed to the bedroom.
Where is Sandra?,bedroom,John and Sandra went to the bedroom.
Is Daniel in the hallway?,no,Daniel journeyed to the bathroom.
What is the garden south of?,kitchen,The kitchen is north of the garden.
Where is Sandra?,office,Sandra and Mary went to the office.
Where is Daniel?,office,Daniel and Mary went to the office.
What is the bathroom north of?,hallway,The hallway is south of the bathroom.
Where is Sandra?,garden,Sandra and Daniel travelled to the garden.
Where is John?,hallway,Mary and John travelled to the hallway.
What is the office west of?,garden,The office is west of the garden.
Where is Mary?,bedroom,Daniel and Mary travelled to the bedroom.
Is Daniel in the bathroom?,no,Daniel moved to the office.
Is Sandra in the garden?,no,Sandra journeyed to the hallway.
Where is Daniel?,hallway,Daniel and Sandra journeyed to the hallway.
Where is John?,kitchen,John and Mary journeyed to the kitchen.
What is north of the garden?,kitchen,The kitchen is south of the garden.
 Who did John give the apple to?,Daniel,John gave Daniel the apple.
Where is Mary?,bathroom,Daniel and Mary journeyed to the bathroom.
Where is Mary?,garden,Daniel and Mary journeyed to the garden.
Where is Daniel?,garden,Mary and Daniel moved to the garden.
What is the garden south of?,hallway,The garden is south of the hallway.
Where is Daniel?,kitchen,Daniel and Sandra moved to the kitchen.
What is north of the kitchen?,bathroom,The bathroom is south of the kitchen.
Is John in the office?,yes,John travelled to the office.
What is south of the bathroom?,hallway,The bathroom is south of the hallway.
Where is John?,garden,Sandra and John moved to the garden.
Who received the football?,John,Sandra gave John the football.
Where is Daniel?,bathroom,Daniel and John travelled to the bathroom.
 What did John give to Mary?,milk, John gave Mary the milk.
What is north of the bathroom?,kitchen,The bathroom is north of the kitchen.
What is the hallway north of?,bathroom,The bathroom is south of the hallway.
Where is John?,kitchen,John moved to the kitchen.
Is John in the hallway?,no,John moved to the kitchen.
Where is John?,bathroom,John and Mary travelled to the bathroom.
Where is John?,bedroom,John and Daniel journeyed to the bedroom.
What did Mary give to John?,apple,Mary gave John the apple.
Where is Daniel?,kitchen,Sandra and Daniel journeyed to the kitchen.
What is the kitchen north of?,hallway,The kitchen is north of the hallway.
Where is John?,garden,John moved to the garden.
What is the hallway east of?,kitchen,The kitchen is west of the hallway.
Is Daniel in the hallway?,yes,Daniel went to the hallway.
What is the garden west of?,kitchen,The garden is west of the kitchen.
Where is John?,office,John and Mary went to the office.
Where is John?,bedroom,John and Mary went to the bedroom.
 Who received the apple?,Daniel, John gave Daniel the apple.
Where is Sandra?,bedroom,Sandra and Mary went to the bedroom.
Where is Daniel?,bathroom,Daniel and Sandra went to the bathroom.
 Who received the apple?,Mary,John gave Mary the apple.
Is Sandra in the bedroom?,no,Sandra is not in the bedroom.
Where is Sandra?,kitchen,Sandra and John went to the kitchen.
Where is Sandra?,kitchen,Sandra journeyed to the kitchen.
What is west of the kitchen?,office,The office is east of the kitchen.
 Who received the milk?,Daniel, John gave Daniel the milk.
Is John in the kitchen?,yes,John is in the kitchen.
 What did Mary give to Daniel?,football, Mary gave Daniel the football.
What is the office west of?,kitchen,The kitchen is east of the office.
Is John in the kitchen?,no,John journeyed to the bathroom.
Is Daniel in the bathroom?,no,Daniel is not in the bathroom.
Where is John?,garden,Mary and John journeyed to the garden.
Is Mary in the bathroom?,no,Mary moved to the hallway.
What is the office south of?,bedroom,The bedroom is north of the office.
Is Sandra in the office?,no,Sandra travelled to the hallway.
Where is Daniel?,bathroom,John and Daniel went to the bathroom.
Is Mary in the hallway?,yes,Mary travelled to the hallway.
Where is John?,garden,John and Mary travelled to the garden.
Is John in the bathroom?,no,John moved to the hallway.
Where is Sandra?,office,Sandra and Daniel travelled to the office.
What is east of the hallway?,office,The hallway is east of the office.
What is east of the hallway?,bathroom,The bathroom is west of the hallway.
What is south of the hallway?,office,The office is north of the hallway.
Where is Daniel?,bedroom,Mary and Daniel moved to the bedroom.
Is Daniel in the hallway?,no,Daniel journeyed to the garden.
Where is Mary?,hallway,Mary and Sandra moved to the hallway.
 What did Sandra give to Daniel?,football, Sandra gave Daniel the football.
What is north of the garden?,bathroom,The bathroom is south of the garden.
Where is Sandra?,bedroom,Sandra and Mary travelled to the bedroom.
Where is Sandra?,office,Daniel and Sandra moved to the office.
Where is Daniel?,bathroom,Mary and Daniel moved to the bathroom.
Is Sandra in the hallway?,no,Sandra is not in the hallway.
Where is Mary?,kitchen,Mary travelled to the kitchen.
Is Sandra in the kitchen?,yes,Sandra is in the kitchen.
Where is Sandra?,kitchen,John and Sandra journeyed to the kitchen.
Where is Sandra?,bedroom,John and Sandra journeyed to the bedroom.
 Who received the football?,Daniel,Sandra gave Daniel the football.
Is Daniel in the garden?,no,Daniel moved to the bedroom.
Is Mary in the bedroom?,no,Mary journeyed to the garden.
Where is Mary?,garden,Mary journeyed to the garden.
Where is Mary?,bathroom,Mary and Daniel journeyed to the bathroom.
Where is Mary?,bedroom,Mary and John journeyed to the bedroom.
Is Sandra in the hallway?,no,Sandra moved to the bathroom.
Where is John?,hallway,Daniel and John journeyed to the hallway.
 Who received the apple?,Sandra, John gave Sandra the apple.
Is Sandra in the garden?,no,Sandra travelled to the office.
Where is Sandra?,garden,Sandra and Daniel journeyed to the garden.
Is John in the bathroom?,yes,John travelled to the bathroom.
Where is Mary?,bathroom,Sandra and Mary moved to the bathroom.
What is east of the bathroom?,kitchen,The bathroom is east of the kitchen.
Is Sandra in the garden?,no,Sandra moved to the hallway.
Where is Sandra?,garden,John and Sandra journeyed to the garden.
Who did Mary give the apple to?,John,Mary gave John the apple.
Is John in the bathroom?,no,John is no longer in the bathroom.
Is John in the hallway?,no,John is in the kitchen.
Where is Daniel?,bathroom,Daniel and John moved to the bathroom.
Where is John?,bedroom,Sandra and John went to the bedroom.
 Who received the milk?,Mary,Daniel gave Mary the milk.
Is Daniel in the hallway?,no,Daniel went to the garden.
Where is Daniel?,bathroom,Daniel went to the bathroom.
What did Daniel give to Sandra?,football,Daniel gave Sandra the football.
Where is Sandra?,bathroom,Sandra and Mary travelled to the bathroom.
What is the office west of?,garden,The garden is east of the office.
Where is Mary?,bathroom,Sandra and Mary went to the bathroom.
Where is Daniel?,kitchen,Daniel and Sandra went to the kitchen.
Where is Sandra?,bathroom,Sandra and Daniel moved to the bathroom.
What is east of the bedroom?,office,The office is west of the bedroom.
Is Daniel in the kitchen?,no,Daniel is no longer in the kitchen.
Is Mary in the office?,yes,Mary is in the office.
Where is Daniel?,office,Daniel and Sandra journeyed to the office.
Is Mary in the bathroom?,yes,Mary journeyed to the bathroom.
Where is John?,bedroom,Mary and John travelled to the bedroom.
Where is Mary?,garden,Sandra and Mary travelled to the garden.
Where is Daniel?,bedroom,Daniel and Mary moved to the bedroom.
What is east of the hallway?,bathroom,The hallway is east of the bathroom.
 Who received the football?,Daniel, Sandra gave Daniel the football.
Where is John?,bedroom,Daniel and John moved to the bedroom.
Is John in the bathroom?,no,John journeyed to the hallway.
Where is Sandra?,office,Mary and Sandra journeyed to the office.
Is Mary in the garden?,no,Mary is in the bedroom.
What is south of the kitchen?,bathroom,The kitchen is south of the bathroom.
Is Sandra in the kitchen?,no,Sandra is in the bedroom.
Is Mary in the office?,no,Mary moved to the bathroom.
What is the bathroom east of?,office,The bathroom is east of the office.
Where is John?,garden,John and Sandra moved to the garden.
Is Sandra in the bedroom?,yes,Sandra moved to the bedroom.
What is south of the office?,bathroom,The bathroom is north of the office.
Is Mary in the bedroom?,no,Mary is in the bathroom.
 What did John give to Sandra?,apple, John gave Sandra the apple.
Is Daniel in the office?,no,Daniel travelled to the garden.
Is Sandra in the kitchen?,no,Sandra went to the office.
Is Daniel in the garden?,no,Daniel travelled to the bathroom.
Where is Daniel?,bedroom,Daniel and John journeyed to the bedroom.
What is the bathroom north of?,garden,The garden is south of the bathroom.
Is Daniel in the bedroom?,no,Daniel journeyed to the garden.
Where is Daniel?,kitchen,John and Daniel went to the kitchen.
Where is Mary?,hallway,John and Mary went to the hallway.
Where is Mary?,kitchen,Sandra and Mary went to the kitchen.
Where is John?,hallway,Daniel and John went to the hallway.
What is the bathroom east of?,hallway,The hallway is west of the bathroom.
What is the office west of?,hallway,The office is west of the hallway.
Where is Sandra?,hallway,Sandra and John travelled to the hallway.
Is Daniel in the hallway?,no,Daniel journeyed to the bedroom.
What is west of the kitchen?,garden,The kitchen is west of the garden.
Where is John?,garden,Mary and John moved to the garden.
Is John in the bedroom?,no,John journeyed to the garden.
Where is John?,bathroom,Daniel and John went to the bathroom.
 Who received the football?,Mary,Daniel gave Mary the football.
Where is Mary?,office,Mary and Daniel moved to the office.
Where is Daniel?,bedroom,Mary and Daniel travelled to the bedroom.
Where is Daniel?,hallway,Sandra and Daniel journeyed to the hallway.
Where is Mary?,bedroom,Daniel and Mary moved to the bedroom.
Where is Mary?,garden,John and Mary journeyed to the garden.
Where is Mary?,office,Sandra and Mary journeyed to the office.
 Who received the football?,John,Mary gave John the football.
What is the bathroom east of?,garden,The garden is west of the bathroom.
Is John in the garden?,no,John is in the bedroom.
Is Sandra in the office?,no,Sandra journeyed to the kitchen.
Is John in the garden?,yes,John went to the garden.
Is Mary in the garden?,no,Mary moved to the hallway.
 What did Sandra give to Mary?,milk,Sandra gave Mary the milk.
Where is Sandra?,kitchen,Mary and Sandra journeyed to the kitchen.
Is John in the kitchen?,no,John is not in the kitchen.
What is east of the garden?,office,The office is west of the garden.
Is John in the kitchen?,no,John went to the bathroom.
Is Mary in the bedroom?,no,Mary moved to the office.
What is the bedroom east of?,garden,The garden is west of the bedroom.
Where is Mary?,office,John and Mary travelled to the office.
Is Daniel in the garden?,no,Daniel journeyed to the office.
Where is John?,hallway,John and Daniel journeyed to the hallway.
What is west of the hallway?,bathroom,The hallway is west of the bathroom.
Where is John?,hallway,John and Daniel travelled to the hallway.
What did Daniel give to John?,milk,Daniel gave John the milk.
What is north of the bedroom?,bathroom,The bedroom is north of the bathroom.
Is Mary in the hallway?,no,Mary moved to the garden.
Is Mary in the garden?,no,Mary moved to the bathroom.
Where is Mary?,garden,Mary and Daniel went to the garden.
Is John in the hallway?,no,John journeyed to the bathroom.
What is east of the kitchen?,garden,The garden is west of the kitchen.
Is John in the kitchen?,no,John journeyed to the garden.
What is the office east of?,bedroom,The bedroom is west of the office.
Is Sandra in the garden?,no,Sandra moved to the bedroom.
Is Mary in the hallway?,no,Mary travelled to the office.
Is Daniel in the bathroom?,no,Daniel went to the office.
What is the kitchen west of?,hallway,The hallway is east of the kitchen.
Where is Daniel?,garden,John and Daniel journeyed to the garden.
Where is Mary?,garden,Mary and Daniel journeyed to the garden.
What did Mary give to Daniel?,milk,Mary gave Daniel the milk.
 What did John give to Mary?,football,John gave Mary the football.
Is Mary in the office?,no,Mary travelled to the garden.
Is Sandra in the garden?,no,Sandra travelled to the hallway.
Is Mary in the hallway?,no,Mary journeyed to the garden.
Where is Daniel?,office,John and Daniel moved to the office.
What is the kitchen south of?,garden,The garden is north of the kitchen.
What is the bedroom north of?,bathroom,The bedroom is north of the bathroom.
Where is Sandra?,bathroom,Mary and Sandra went to the bathroom.
 Who received the milk?,John,Sandra gave John the milk.
Is Mary in the kitchen?,no,Mary journeyed to the hallway.
 Who received the milk?,Sandra, John gave Sandra the milk.
Where is John?,bedroom,John and Daniel travelled to the bedroom.
Is John in the bedroom?,no,John moved to the office.
Where is Sandra?,kitchen,Sandra and Mary travelled to the kitchen.
Where is Mary?,bathroom,Mary and Sandra travelled to the bathroom.
Where is Sandra?,office,John and Sandra went to the office.
Where is Mary?,bedroom,Mary and Sandra journeyed to the bedroom.
What is the hallway south of?,bedroom,The hallway is south of the bedroom.
What is the office north of?,hallway,The office is north of the hallway.
Where is John?,garden,John travelled to the garden.
Where is John?,kitchen,John and Daniel journeyed to the kitchen.
What is the kitchen south of?,bathroom,The bathroom is north of the kitchen.
Where is Sandra?,garden,Mary and Sandra moved to the garden.
Is John in the garden?,no,John travelled to the hallway.
What is the bedroom south of?,hallway,The bedroom is south of the hallway.
Is Mary in the garden?,yes,Mary travelled to the garden.
What is north of the garden?,kitchen,The garden is north of the kitchen.
What is east of the garden?,kitchen,The garden is east of the kitchen.
Is Mary in the bathroom?,no,Mary is in the kitchen.
Is Sandra in the office?,no,Sandra journeyed to the bedroom.
What is south of the hallway?,bathroom,The bathroom is north of the hallway.
What is east of the office?,bedroom,The office is east of the bedroom.
Is Daniel in the hallway?,no,Daniel moved to the kitchen.
Where is Daniel?,bathroom,Daniel and John went to the bathroom.
What is south of the bathroom?,garden,The bathroom is south of the garden.
Where is Sandra?,bedroom,Mary and Sandra travelled to the bedroom.
Is John in the bedroom?,no,John is in the kitchen.
Is Daniel in the bedroom?,no,Daniel is in the hallway.
What is west of the garden?,kitchen,The kitchen is east of the garden.
What is the bathroom east of?,garden,The bathroom is east of the garden.
Is Mary in the bathroom?,no,Mary is no longer in the bathroom.
